Metal,Category,Item Name,Pre Id / Short Code / SELL / PUR Code,Model No,Description,Color,Shape,Size,Length,Width,Purity,Clarity,Sub Item,Other Info,Model No without hash
SILVER,CHAINS,FIGARO PLAIN > 3,S-GAD 3+1200@20#,CFP,SILVER ORNAMENT GST,,,,,,,,,,S-GAD 3+1200@20
SILVER,CHAINS,FIGARO PLAIN > 3,S-GADC3+1150@24#,CFP,SILVER ORNAMENT GST,,,,,,,,,,S-GADC3+1150@24
SILVER,CHAINS,FIGARO PLAIN > 3,S-GADC3+1150@18#,CFP,SILVER ORNAMENT GST,,,,,,,,,,S-GADC3+1150@18
SILVER,CHAINS,FIGARO PLAIN > 3,S-GADC3+1180@24#,CFP,SILVER ORNAMENT GST,,,,,,,,,,S-GADC3+1180@24
SILVER,CHAINS,FIGARO PLAIN > 3,S-GADC3+1180@20#,CFP,SILVER ORNAMENT GST,,,,,,,,,,S-GADC3+1180@20
SILVER,CHAINS,FIGARO PLAIN > 3,S-GADC3+1250@24#,CFP,SILVER ORNAMENT GST,,,,,,,,,,S-GADC3+1250@24
SILVER,CHAINS,FIGARO PLAIN > 3,S-GADC3+1250@20#,CFP,SILVER ORNAMENT GST,,,,,,,,,,S-GADC3+1250@20
SILVER,CHAINS,FIGARO PLAIN > 3,S-GADE3+1100@20#,CFP,SILVER ORNAMENT GST,,,,,,,,,,S-GADE3+1100@20
SILVER,GENTS RING,9CZ E-COUTING,GR9CZ#,GR9CZ,SILVER ORNAMENT GST,,,,,,,,,,GR9CZ
SILVER,GENTS RING,9CZ STONE R.G,GR9CZ#,GR9CZ,SILVER ORNAMENT GST,,,,,,,,,,GR9CZ
SILVER,GENTS RING,9CZ STONE T.T,GR9CZ#,GR9CZ,SILVER ORNAMENT GST,,,,,,,,,,GR9CZ
SILVER,GENTS RING,ALPHA A+,GRAA#,GRAA,SILVER ORNAMENT GST,,,,,,,,,,GRAA
SILVER,GENTS RING,COLOUR CLOSE,GRCC#,GRCC,SILVER ORNAMENT GST,,,,,,,,,,GRCC
SILVER,GENTS RING,GOD  T.T,GRGTT#,GRGTT,SILVER ORNAMENT GST,,,,,,,,,,GRGTT
SILVER,GENTS RING,GOD BALAJI,GRGB#,GRGB,SILVER ORNAMENT GST,,,,,,,,,,GRGB
SILVER,GENTS RING,GOD GANESH JI,GRGG#,GRGG,SILVER ORNAMENT GST,,,,,,,,,,GRGG
SILVER,GENTS RING,GR A+,GRA#,GRA,SILVER ORNAMENT GST,,,,,,,,,,GRA
SILVER,KADA,PUNJABI KADA,R-34#,KPK,SILVER ORNAMENT GST,,,,,,,,,,R-34
SILVER,KADA,PUNJABI KADA,R-37#,KCPK,SILVER ORNAMENT GST,,,,,,,,,,R-37
SILVER,KADA,TIGER RUBBER KADA,R-10#,KTRK,SILVER ORNAMENT GST,,,,,,,,,,R-10
SILVER,LADIES RING,CC MICRO,LRCCM#,LRCCM,SILVER ORNAMENT GST,,,,,,,,,,LRCCM
SILVER,LADIES RING,CZ SMALL COLOUR,LRCZSC#,LRCZSC,SILVER ORNAMENT GST,,,,,,,,,,LRCZSC
SILVER,LADIES RING,CZ TORTOISE,LRCZT#,LRCZT,SILVER ORNAMENT GST,,,,,,,,,,LRCZT
SILVER,NAZARIYA,FANCY NAZARIYA,R-22#,NFN,SILVER ORNAMENT GST,,,,,,,,,,R-22
SILVER,NAZARIYA,FANCY NAZARIYA SP,R-23#,NFSP,SILVER ORNAMENT GST,,,,,,,,,,R-23
SILVER,NAZARIYA,NAZARIYA,R-24#,NN,SILVER ORNAMENT GST,,,,,,,,,,R-24
SILVER,NAZARIYA,NAZARIYA PAYAL,R-30#,NP,SILVER ORNAMENT GST,,,,,,,,,,R-30
SILVER,NAZARIYA,NAZARIYA SP,R-25#,NSP,SILVER ORNAMENT GST,,,,,,,,,,R-25
SILVER,PENDENT,BABY PENDENT,R-20#,PBP,SILVER ORNAMENT GST,,,,,,,,,,R-20
SILVER,RING,SOLITAIRE RINGS,R-31#,RSR,SILVER ORNAMENT GST,,,,,,,,,,R-31
SILVER,RING,SQUARE BANGKOK RING,R-28#,RSBR,SILVER ORNAMENT GST,,,,,,,,,,R-28
SILVER,RING,TIGER BANGKOK RING,R-26#,RTB,SILVER ORNAMENT GST,,,,,,,,,,R-26
