"Item Name","Stamp/Batch","Op. Pc","Op.Tags","Op. Gr.Wt.","Op. Dia.Wt.","Rc. Pc","Rec.Tags","Rc. Gr.Wt.","Rc. Dia.Wt.","Is. Pc","Iss.Tags","Is. Gr.Wt.","Is. Dia.Wt.","Cl. Pc","Cl.Tags","Cl. Gr.Wt.","Cl. Dia.Wt."
"","","","","","","","","","","","","","","","","",""
"PAYAL EXCLUCIVE","","","","","","","","","","5","","309.800","","-5","","-309.800",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","5","0","309.800","0.000","-5","0","-309.800","0.000"
"","","","","","","","","","","","","","","","","",""
"PAYAL SILVER""C""","","","","","","1","","40.300","","4","","176.520","","-3","","-136.220",""
"1","1","0","0","0.000","0.000","1","0","40.300","0.000","4","0","176.520","0.000","-3","0","-136.220","0.000"
"","","","","","","","","","","","","","","","","",""
"PC RATE GOLD JEWELLERY","","92","","","","","","","","","","","","92","","",""
"1","1","92","0","0.000","0.000","0","0","0.000","0.000","0","0","0.000","0.000","92","0","0.000","0.000"
"","","","","","","","","","","","","","","","","",""
"PC RATE SILVER JEWELLERY","","133","","","","","","","","","","","","133","","",""
"1","1","133","0","0.000","0.000","0","0","0.000","0.000","0","0","0.000","0.000","133","0","0.000","0.000"
"","","","","","","","","","","","","","","","","",""
"PEARLS MALA","","","","563.400","","","","","","","","30.700","","","","532.700",""
"1","1","0","0","563.400","0.000","0","0","0.000","0.000","0","0","30.700","0.000","0","0","532.700","0.000"
"","","","","","","","","","","","","","","","","",""
"PEND..SET GOLD","18K","39","","71.836","","","","","","3","","6.353","","36","","65.483",""
"PEND..SET GOLD","22K","3","","6.426","","","","","","3","","6.426","","","","",""
"2","2","42","0","78.262","0.000","0","0","0.000","0.000","6","0","12.779","0.000","36","0","65.483","0.000"
"","","","","","","","","","","","","","","","","",""
"PENDENT 925 SL","","","","","","","","","","1","","2.720","","-1","","-2.720",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","1","0","2.720","0.000","-1","0","-2.720","0.000"
"","","","","","","","","","","","","","","","","",""
"PENDENT GOLD","NA","4","","5.860","","","","","","4","","5.860","","","","",""
"PENDENT GOLD","18K","108","","329.557","","135","","387.633","","53","","137.842","","190","","579.348",""
"PENDENT GOLD","22K","9","","60.520","","","","","","3","","22.370","","6","","38.150",""
"3","3","121","0","395.937","0.000","135","0","387.633","0.000","60","0","166.072","0.000","196","0","617.498","0.000"
"","","","","","","","","","","","","","","","","",""
"PLATE SILVER","","","","","","","","","","1","","42.100","","-1","","-42.100",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","1","0","42.100","0.000","-1","0","-42.100","0.000"
"","","","","","","","","","","","","","","","","",""
"PUJA & YANTRA SL ""M""","","","","","","","","","","1","","2.100","","-1","","-2.100",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","1","0","2.100","0.000","-1","0","-2.100","0.000"
"","","","","","","","","","","","","","","","","",""
"PYL FITTING(K+G)","","","","","","","","","","2","","78.300","","-2","","-78.300",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","2","0","78.300","0.000","-2","0","-78.300","0.000"
"","","","","","","","","","","","","","","","","",""
"RAKHI SILVER","","","","","","","","","","3","","17.850","","-3","","-17.850",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","3","0","17.850","0.000","-3","0","-17.850","0.000"
"","","","","","","","","","","","","","","","","",""
"RING SIL ""M""","","","","","","","","","","12","","37.440","","-12","","-37.440",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","12","0","37.440","0.000","-12","0","-37.440","0.000"
"","","","","","","","","","","","","","","","","",""
"RING SL ""AD"" C","","","","","","1","","2.600","","14","","50.450","","-13","","-47.850",""
"1","1","0","0","0.000","0.000","1","0","2.600","0.000","14","0","50.450","0.000","-13","0","-47.850","0.000"
"","","","","","","","","","","","","","","","","",""
"SCRAP GOLD","","","","","","","","14.892","","","","12.383","","","","2.509",""
